Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
P300 18555785 Chip-Seq ESCs Mouse	57/2000	1.338996198958647E-6	9.52342240382948E-6	0	0	2.1526862694223383	29.11204721663148	PTPRT;SNAP25;FMN1;FMN2;IKZF2;CDC14A;UNC80;MECOM;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;RAPGEF4;SP100;NPAS2;PKHD1;FAM171A1;CDH20;PLXNA2;PAK6;ACSS1;SCN3A;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;ARHGAP29;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PDE7A;PAM;IL18R1
SUZ12 27294783 Chip-Seq ESCs Mouse	57/2000	1.338996198958647E-6	9.52342240382948E-6	0	0	2.1526862694223383	29.11204721663148	CYFIP2;PTPRT;GABRB3;RYR2;ZFP521;CELF4;FMN2;AHR;UNC80;ALCAM;DNER;NCKAP5;RNF152;RGS7;ST6GAL1;GRID2;IGFBP5;CACNA2D3;PROX1;TC2N;PARD3B;DNM3;TCERG1L;ZFPM2;TOX;RAPGEF4;NOTCH3;RBM47;EPAS1;NTN4;FIGN;CACNA1C;CPLX2;NOL4;EGFR;NPAS2;CDH20;PRDM16;PLXNA2;STXBP6;TCF7L2;PTPRN2;PPP1R14C;SYT1;AUTS2;PCDH9;ATP8B1;MEIS2;PTPN14;FAM135A;NFIA;KITL;WNK2;BCL2;SDC1;PAM;SNTB1
ERA 27197147 Chip-Seq ENDOMETRIOID-ADENOCARCINOMA Human	37/1073	1.9392835852758213E-6	1.363962788310661E-5	0	0	2.544302071973828	33.465693503549026	RBM47;EPAS1;SEMA3A;FMN1;AHR;CACNA1C;HNMT;EGFR;ZFP36L1;SMPD3;ALCAM;MECOM;PRDM16;NCAM1;STXBP6;NCKAP5;MAGI1;SMAD3;ATP8B1;EYA2;COL23A1;CADPS;MTUS1;REV1;MICAL3;ATP11A;PLXDC2;DHRS3;SMAD7;FGF14;FRAS1;NFIA;SCGB1A1;RIMBP2;SPATS2L;MCTP2;DOCK1
NMYC 18555785 Chip-Seq ESCs Mouse	56/2000	2.9202047385080686E-6	1.966478297314476E-5	0	0	2.1050144795000763	26.826003148067795	PTPRT;SNAP25;FMN1;FMN2;IKZF2;HNMT;UNC80;DNER;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;DNAJC6;RAPGEF4;SP100;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;CDH20;PLXNA2;PAK6;CCDC141;ACSS1;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;ARHGAP29;FMO2;SYT14;PLXDC2;PTPN14;ST18;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
EBF1 22473956 ChIP-Seq LYMPHODE Mouse	56/2000	2.9202047385080686E-6	1.966478297314476E-5	0	0	2.1050144795000763	26.826003148067795	PTPRT;SNAP25;FMN2;IKZF2;HNMT;UNC80;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;RAPGEF4;SP100;NLGN1;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;CDH20;PLXNA2;PAK6;SCN3A;CD55;RUNX1T1;ZFP462;WWTR1;EYA1;EYA2;4930523C07RIK;FMO1;FMO2;SYT14;PLXDC2;PTPN14;ST18;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
CJUN 26792858 Chip-Seq BT549 Human	56/2000	2.9202047385080686E-6	1.966478297314476E-5	0	0	2.1050144795000763	26.826003148067795	PCSK1;PREP;PTPRK;HNMT;FGF1;TSPAN11;SLC8A1;ROBO1;RIMS2;PCLO;SCN9A;EPSTI1;RNF152;GPR39;SLC38A1;ANXA2;IGFBP5;MYOF;MTUS1;ATP1B1;RUNX1;RARB;MALAT1;ZFPM2;DDC;NLGN1;NFIX;EPAS1;MGST1;NTN4;FIGN;LTBP1;EGFR;ZFP36L1;DPP4;PALMD;IRAK2;CCDC141;CD55;RUNX1T1;SMAD3;EYA2;PLCL2;KCNJ15;DCLK2;NFATC2;ARHGAP29;PLXDC2;CP;ESR1;STXBP5L;BMP5;SMAD7;PTK7;SNTB1;LRP11
PU1 27457419 Chip-Seq LIVER Mouse	56/2000	2.9202047385080686E-6	1.966478297314476E-5	0	0	2.1050144795000763	26.826003148067795	PTPRT;SNAP25;FMN1;FMN2;IKZF2;UNC80;MECOM;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;RAPGEF4;SP100;FIGN;SNX30;NPAS2;PKHD1;DPP4;FAM171A1;PALMD;CDH20;PLXNA2;CCDC141;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;FMO2;SYT14;PLXDC2;PTPN14;ST18;DHRS3;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
SMAD3 22036565 ChIP-Seq ESCs Mouse	35/1020	4.1946028038540774E-6	2.7949300787785588E-5	0	0	2.519073988617136	31.190448396343335	DDC;NRXN1;ELAVL4;ASAP3;PTPRK;FGF1;ZFP36L1;SYNE1;RIMS2;STOX2;PRDM16;SPP1;NCAM1;ACSS1;RUNX1T1;MAGI1;EPHA4;AUTS2;VWF;DST;DAPK1;REV1;DCLK2;PRKCA;MEIS2;SMAD7;PARD3B;CYP39A1;AHI1;CDH13;XIST;TOX;PAM;DOCK1;RAI14
BACH1 22875853 ChIP-PCR HELA AND SCP4 Human	42/1352	5.263680556646098E-6	3.470739367038521E-5	0	0	2.294300056435085	27.88648312537745	PTPRT;RYR2;EPAS1;NRXN1;SEMA3A;CHD7;SEMA3E;CACNA1C;FGF1;ROBO1;ALCAM;PTPRZ1;TSPAN9;PRDM16;LRRFIP1;TRPM6;SOX5;SAMD4;RGS7;ST6GAL1;SYT1;DST;ATP8B1;EYA2;DAPK2;HGF;CACNA2D3;PRKCA;PROX1;OSMR;ATP1B1;ESR1;DHRS3;MYO1D;FGF14;FRAS1;BCL6;DNAJC6;BCL2;SDC1;RARB;MCTP2
EP300 20729851 ChIP-Seq FORBRAIN MIDBRAIN LIMB HEART Mouse	57/2093	5.472850093567622E-6	3.571457844565263E-5	0	0	2.0435974768221596	24.759636503798305	RYR2;WWC2;CHD7;ELAVL4;PTPRK;SLC8A1;CDC14A;ALCAM;RASGEF1B;NRCAM;SOX5;MAGI1;EPHA4;GRID2;ANXA2;MTUS1;PRKCA;PROX1;DNM3;RARB;CDH13;TOX;YAP1;DDC;NLGN1;NRXN1;NEDD4L;AKR1C19;IQGAP2;LPP;ZFP36L1;STOX2;PLXNA2;SAMD4;RUNX1T1;ZFP462;TMEM132D;TCF7L2;SMAD3;AUTS2;MICAL3;DCLK2;NFATC2;FMO1;SMAD6;ST18;DHRS3;SMAD7;NET1;NFASC;FRAS1;NFIA;KITL;PTK7;MYO5C;SCGB1A1;PAM
TCF3/E2A 22897851 ChIP-Seq JUKARTE6-1 Human	54/1946	5.930921613614791E-6	3.830891205528737E-5	0	0	2.074655908875178	24.96917045321927	PTPRT;RAB3C;PDE3B;CHD7;CELF4;FMN2;ROBO1;SYNE1;RIMS2;NETO1;RASGEF1B;LRRFIP1;RNF152;SRRM3;COL23A1;PARD3B;DNM3;TOX;MCTP2;RAI14;DDC;NLGN1;NFIX;KHDRBS3;EPAS1;SEMA3A;ASAP3;IQGAP2;CPLX2;LPP;NALCN;STOX2;PTPRZ1;CDH20;CCDC141;ACSS1;PTPRN2;AUTS2;PCDH9;ATP8B1;PLCL2;SYT14;PPP2R3A;SMAD7;AHI1;PEX5L;NFASC;FGF14;NFIA;PTK7;SCGB1A1;RIMBP2;SNTB1;HCN1
SOX2 18555785 Chip-Seq ESCs Mouse	55/2000	6.233356425819967E-6	3.945714617544039E-5	0	0	2.0577774031775466	24.66368782655351	PTPRT;SNAP25;FMN1;FMN2;IKZF2;HNMT;UNC80;DNER;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;RAPGEF4;SP100;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;CDH20;PLXNA2;PAK6;ACSS1;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;PEX5L;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
SOX2 27498859 Chip-Seq STOMACH Mouse	55/2000	6.233356425819967E-6	3.945714617544039E-5	0	0	2.0577774031775466	24.66368782655351	SH2D4A;WWC2;AHR;ZFP809;CDC14A;SMPD3;ALCAM;MECOM;DNER;AOX3;CTSH;LRRFIP1;SFTPB;GPR39;MYOF;MTUS1;REV1;PRKCA;ATP1B1;E330009J07RIK;PARD3B;GPRIN3;RARB;MALAT1;LCP1;TOX;MET;NFIX;PON2;NTN4;AKR1C19;SEMA3E;IQGAP2;SEL1L3;FAM171A1;STXBP6;ACSS1;ATP8B1;EYA2;KCNJ15;NFATC2;ARHGAP29;SMAD6;DHRS3;VEGFA;STXBP5L;SMAD7;MYO1D;FAM135A;NFIA;KITL;MYO5C;SLCO4C1;SDC1;B430010I23RIK
SMAD3 21741376 ChIP-Seq HESCs Human	44/1460	6.6208773435427805E-6	4.1495201568936437E-5	0	0	2.2281488866733135	26.571305298989515	PTPRT;GABRB3;KHDRBS3;SH2D4A;DOCK8;NEDD4L;FMN1;SEMA3E;FMN2;FGF1;SYNE1;FAM171A1;RASGEF1B;EPSTI1;PLXNA2;TNR;NRCAM;LRRFIP1;ACSS1;RUNX1T1;MAGI1;TMEM132D;EPHA4;GPR39;TCF7L2;SMAD3;DST;EYA2;LRBA;COL23A1;MYOF;NFATC2;SMAD6;PTPN13;CP;DHRS3;ARHGAP24;SMAD7;NFASC;TCERG1L;CLIP4;SCGB1A1;FREM1;IL18R1
STAT6 20620947 ChIP-Seq CD4 POS T Human	22/508	8.947309351306521E-6	5.552594920957871E-5	0	0	3.140125685252039	36.501316169517764	CYFIP2;ST6GAL1;SLC38A1;PTPRN2;AUTS2;EPAS1;PDE3B;CHD7;ATP11A;ST18;CDC14A;NPAS2;RUNX1;PARD3B;SMPD3;DPP4;BCL6;BCL2;CDH13;NRCAM;MALAT1;LRRFIP1
TCF7L2 21901280 ChIP-Seq H4IIE Rat	34/1023	1.1404933128773711E-5	7.009051136421126E-5	0	0	2.4274872655817767	27.62836029659267	RBM47;DDC;NFIX;DOCK8;WWC2;MGST1;SEMA3E;PTPRK;CACNA1C;EGFR;ROBO1;SMPD3;ALCAM;PTPRZ1;PALMD;RNF152;MAGI1;ABCC3;WWTR1;SYT1;CACNA2D1;PRKCA;ATP11A;PTPN14;VEGFA;SMAD7;PARD3B;DNM3;POR;MDFIC;NFIA;BCL2;TOX;RAI14
OCT4 18555785 Chip-Seq ESCs Mouse	54/2000	1.3019825369459738E-5	7.849094722731442E-5	0	0	2.010969649936028	22.62147266918401	PTPRT;SNAP25;FMN1;FMN2;IKZF2;CDC14A;UNC80;DNER;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;RAPGEF4;SP100;FIGN;NPAS2;PKHD1;PALMD;CDH20;PLXNA2;PAK6;CCDC141;SCN3A;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
SMAD1 18555785 Chip-Seq ESCs Mouse	54/2000	1.3019825369459738E-5	7.849094722731442E-5	0	0	2.010969649936028	22.62147266918401	PTPRT;SNAP25;FMN1;FMN2;IKZF2;UNC80;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;DNAJC6;SP100;NPAS2;PKHD1;DPP4;FAM171A1;CDH20;PLXNA2;PAK6;CCDC141;ACSS1;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
MITF 21258399 ChIP-Seq MELANOMA Human	117/5578	1.517993288283188E-5	9.064997655502434E-5	0	0	1.6763020901457086	18.599470535797924	RAB3C;WWC2;PREP;RORB;HNMT;FGF1;SLC4A4;SLC8A1;CDC14A;NCKAP5;SOX5;RGS7;ST6GAL1;DAPK1;LIMCH1;SWAP70;COL23A1;MTUS1;REV1;PRKCA;ATP11A;RUNX1;GPRIN3;TCERG1L;MALAT1;ZFPM2;TOX;RAI14;KHDRBS3;EPAS1;NEDD4L;LPP;NPAS2;RAP1GAP;ZFP36L1;PKHD1;TSPAN9;PRDM16;PLXNA2;UTP20;STXBP6;WWTR1;PTPRN2;SMAD3;DENND4A;ATP8B1;LRBA;MICAL3;DCLK2;NFATC2;SMAD6;CP;ARHGAP24;ACSF2;SMAD7;GNAO1;AHI1;PEX5L;FGF14;BCL6;DCHS2;WNK2;DMXL2;BCL2;SPATS2L;LRP11;ARHGAP8;SH2D4A;CHD7;ELAVL4;FMN1;FMN2;PTPRK;ROBO1;UNC80;GRM5;MECOM;DNER;AOX1;LRRFIP1;ANXA2;VWF;DST;MYOF;UPK3A;DNM3;PITPNM3;RARB;KIFC3;MET;YAP1;DDC;NLGN1;NFIX;NRXN1;NTN4;ASAP3;SNX30;EGFR;SPP1;DMD;ASCC2;ACSS1;TCF7L2;EYA1;EYA2;CADPS;SYT14;MEIS2;DHRS3;STXBP5L;MYO1D;NFASC;NFIA;TTC3;PDE7A;SNTB1
PCGF2 27294783 Chip-Seq NPCs Mouse	20/451	1.6400035121028792E-5	9.702076851973108E-5	0	0	3.205016257931459	35.3135969301416	EPHA4;GPR39;SP100;IGFBP5;IKZF2;PARD3B;UNC80;NFASC;CDH20;DNER;SLCO4C1;AOX3;BCL2;SPATS2L;AOX1;LRRFIP1;NCKAP5;PAM;RNF152;CD55
WT1 20215353 ChIP-ChIP NEPHRON PROGENITOR Mouse	47/1663	1.6604745346960728E-5	9.732225745024203E-5	0	0	2.087250019644822	22.971902267482612	GABRB3;YAP1;NOTCH3;ARHGAP8;LRP1;EPAS1;WWC2;PDE3B;NTN4;CACNA1A;PSIP1;FIGN;SEMA3E;IKZF2;SLC4A4;LPP;CDC14A;NPAS2;ZFP36L1;SMPD3;RIMS2;ALCAM;PLXNA2;NCAM1;ACSS1;RNF152;SAMD4;MAGI1;WWTR1;TCF7L2;SMAD3;ATP8B1;CACNA2D1;LRBA;ATP11A;PLXDC2;SMAD6;DHRS3;E330009J07RIK;RUNX1;VEGFA;SMAD7;TCERG1L;NFIA;PTK7;COL4A5;RAI14
CTBP2 25329375 ChIP-Seq LNCAP Human	34/1053	2.0712866171573167E-5	1.20286644831246E-4	0	0	2.3522432277297387	25.368368079587768	PCSK1;KHDRBS3;NRXN1;PDE3B;CACNA1A;CACNA1C;NOL4;ROBO1;RIMS2;FUT8;PCLO;CDH20;PLXNA2;NCAM1;MPDZ;SOX5;TCF7L2;DAPK2;HGF;PLCL2;KCNJ15;RASSF9;PROX1;CP;DHRS3;FGF14;TCERG1L;SLCO4C1;BCL2;MALAT1;ZFPM2;TOX;PDE7A;HCN1
CTCF 18555785 Chip-Seq ESCs Mouse	53/2000	2.660485421598883E-5	1.4945982968626013E-4	0	0	1.964585917045611	20.695767026113078	PTPRT;SNAP25;FMN1;FMN2;IKZF2;CDC14A;UNC80;MECOM;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;SP100;NPAS2;PKHD1;FAM171A1;CDH20;PLXNA2;PAK6;SCN3A;CD55;EYA1;EYA2;4930523C07RIK;NFATC2;FMO1;FMO2;SYT14;MEIS2;PTPN14;ST18;PEX5L;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
LMO2 26923725 Chip-Seq HEMOGENIC-ENDOTHELIUM Mouse	53/2000	2.660485421598883E-5	1.4945982968626013E-4	0	0	1.964585917045611	20.695767026113078	ARHGAP8;SH2D4A;ELAVL4;FMN2;CDC14A;SYNE1;ALCAM;RASGEF1B;AOX3;CTSH;GPR39;ST6GAL1;SLC38A1;VWF;DAPK1;MYOF;REV1;ZFP618;PRKCA;PROX1;RUNX1;PARD3B;MDFIC;DNAJC6;CDH13;MCTP2;FREM1;MET;RAPGEF4;RBM47;DDC;CACNA1A;IQGAP2;SNX30;CPLX2;LTBP1;FAM171A1;PTPRZ1;TSPAN9;ASCC2;RUNX1T1;SMAD3;KCNJ15;4930523C07RIK;ARHGAP29;SMAD6;PTPN13;ESR1;ARHGAP24;VEGFA;BMP5;SMAD7;KITL
RUNX1 27457419 Chip-Seq LIVER Mouse	53/2000	2.660485421598883E-5	1.4945982968626013E-4	0	0	1.964585917045611	20.695767026113078	SNAP25;FMN1;FMN2;IKZF2;UNC80;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;RAPGEF4;SP100;FIGN;NPAS2;PKHD1;DPP4;FAM171A1;CDH20;PLXNA2;PAK6;CCDC141;ACSS1;SCN3A;CD55;EYA1;4930523C07RIK;FMO1;FMO2;SYT14;PLXDC2;MEIS2;PTPN14;ST18;NFASC;FAM135A;SLCO4C1;BCL2;SPATS2L;PAM;IL18R1
RNF2 18974828 ChIP-Seq MESCs Mouse	39/1302	2.691693615202789E-5	1.4945982968626013E-4	0	0	2.1897862232779097	23.04258365125587	PTPRT;RYR2;NFIX;ZFP521;PDE3B;NTN4;SLC4A4;NOL4;NPAS2;PTPRZ1;PRDM16;AOX1;NCAM1;STXBP6;SAMD4;TMEM132D;EPHA4;IGFBP5;AUTS2;ATP8B1;CACNA2D3;PROX1;ATP11A;SMAD6;PTPN14;DHRS3;E330009J07RIK;RUNX1;FRAS1;NFIA;KITL;WNK2;PITPNM3;BCL2;SDC1;ZFPM2;TOX;CPEB2;SNTB1
EZH2 18974828 ChIP-Seq MESCs Mouse	39/1302	2.691693615202789E-5	1.4945982968626013E-4	0	0	2.1897862232779097	23.04258365125587	PTPRT;RYR2;NFIX;ZFP521;PDE3B;NTN4;SLC4A4;NOL4;NPAS2;PTPRZ1;PRDM16;AOX1;NCAM1;STXBP6;SAMD4;TMEM132D;EPHA4;IGFBP5;AUTS2;ATP8B1;CACNA2D3;PROX1;ATP11A;SMAD6;PTPN14;DHRS3;E330009J07RIK;RUNX1;FRAS1;NFIA;KITL;WNK2;PITPNM3;BCL2;SDC1;ZFPM2;TOX;CPEB2;SNTB1
FLI1 27457419 Chip-Seq LIVER Mouse	18/393	2.8575681437729757E-5	1.5729049000072118E-4	0	0	3.301238434163701	34.540707534360365	EPHA4;SP100;IGFBP5;DST;EYA1;REV1;IKZF2;ST18;NPAS2;PARD3B;PKHD1;UNC80;FAM135A;DNER;AOX3;SPATS2L;AOX1;IL18R1
PPARG 20176806 ChIP-Seq MACROPHAGES Mouse	41/1408	3.1427778598369015E-5	1.7149813666178954E-4	0	0	2.1313406259392207	22.097352531427298	RAB3C;SH2D4A;EPAS1;DOCK8;MGST1;NOD1;SLC4A4;LPP;CDC14A;NPAS2;ROBO1;ZFP36L1;STOX2;RASGEF1B;DNER;TCF7L2;VWF;DAPK1;ATP8B1;EYA2;HGF;MTUS1;4930523C07RIK;ARHGAP29;PROX1;PLXDC2;TC2N;DHRS3;ARHGAP24;RUNX1;BCL6;TTC3;DMXL2;BCL2;COL4A5;MALAT1;NAF1;MCTP2;FREM1;PAM;RAI14
RNF2 16625203 ChIP-ChIP MESCs Mouse	37/1219	3.334932047213415E-5	1.8042837486205912E-4	0	0	2.212587670012012	22.808400613692555	PTPRT;PCSK1;RYR2;SNAP25;NFIX;ZFP521;EPAS1;SEMA3A;HSPA4L;NTN4;FIGN;SEMA3E;NOL4;NPAS2;ALCAM;ATP7B;NETO1;CDH20;PRDM16;STXBP6;SCD1;MPDZ;ST6GAL1;SMAD3;PPP1R14C;IGFBP5;LRBA;CACNA2D3;PROX1;OSMR;PTPN13;GNAO1;FRAS1;NFIA;CDH13;ZFPM2;TOX
FLI1 21867929 ChIP-Seq TH2 Mouse	52/2000	5.317229762735535E-5	2.828408772950919E-4	0	0	1.9186209877877445	18.88301599459121	CYFIP2;PCSK1;RYR2;RAB3C;PREP;PTPRK;AHR;SYNE1;NRCAM;DAPK1;COL23A1;CACNA2D3;PRKCA;OSMR;TC2N;RUNX1;EML5;PITPNM3;RARB;ZFPM2;DDC;LRP1;NTN4;GSTT1;IQGAP2;CPLX2;NOL4;LPP;LTBP1;EGFR;ZFP36L1;FUT8;UTP20;ASCC2;STXBP6;E2F7;GABRP;PTPRN2;PPP1R14C;SYT1;CADPS;RASSF9;ESR1;MYO1D;CCDC88A;AHI1;BCL6;KITL;WNK2;SDC1;LRP11;HCN1
RARB 27405468 Chip-Seq BRAIN Mouse	52/2000	5.317229762735535E-5	2.828408772950919E-4	0	0	1.9186209877877445	18.88301599459121	FMN2;HNMT;SMPD3;GRM5;LRRFIP1;SRRM3;IGFBP5;DST;CACNA2D3;PRKCA;ATP11A;ATP1B1;GPRIN3;PITPNM3;MALAT1;DDC;MGST1;NEDD4L;CACNA1A;SEMA3E;CACNA1C;SNX30;CPLX2;NPAS2;RAP1GAP;ZFP36L1;PKHD1;FUT8;PLXNA2;CCDC141;RUNX1T1;WWTR1;PTPRN2;AUTS2;PCDH9;EYA2;LRBA;CADPS;NFATC2;PLXDC2;MEIS2;VEGFA;SMAD7;GNAO1;CCDC88A;AHI1;KITL;MYO5C;TTC3;SCGB1A1;RIMBP2;UNC79
EP300 21415370 ChIP-Seq HL-1 Mouse	32/1014	5.692795620949482E-5	3.002949690050852E-4	0	0	2.284598427118851	22.329034513378584	RYR2;DDC;ZFP521;NTN4;NEDD4L;FIGN;PTPRK;SNX30;SLC4A4;LTBP1;SLC8A1;RASGEF1B;NCAM1;STXBP6;LRRFIP1;MPDZ;MAGI1;EPHA4;GPR39;TCF7L2;AUTS2;MICAL3;ATP1B1;CP;SMAD7;PARD3B;FRAS1;MDFIC;PPP2R2B;CDH13;PAM;HCN1
SMAD3 21741376 ChIP-Seq EPCs Human	44/1613	7.367192906592542E-5	3.85407695030833E-4	0	0	1.9940464139766805	18.975123762726408	PTPRT;YAP1;RAB3C;NLGN1;KHDRBS3;SH2D4A;NRXN1;CELF4;ASAP3;SEMA3E;RORB;FGF1;ZFP36L1;SYNE1;PKHD1;FAM171A1;RASGEF1B;NCAM1;RUNX1T1;RGS7;MAGI1;EPHA4;TCF7L2;GRID2;AUTS2;DST;PCDH9;COL23A1;MYOF;REV1;KCNJ15;SYT14;SMAD6;VEGFA;STXBP5L;SMAD7;TCERG1L;SLCO4C1;CLIP4;RARB;CDH13;ZFPM2;TOX;RAI14
CEBPB 26923725 Chip-Seq MESODERM Mouse	33/1079	7.9206222095776E-5	4.109634310379198E-4	0	0	2.2125641541712793	20.89425157424124	NOTCH3;ARHGAP8;SH2D4A;NRXN1;PTPRK;RORB;TSPAN11;SLC8A1;ZFP36L1;STOX2;GRM5;AOX1;NRCAM;MPDZ;MAGI1;SMAD3;ANXA2;DST;KCNJ15;ARHGAP29;ZFP618;TC2N;SMAD6;MEIS2;RUNX1;VEGFA;BCL6;PTK7;SLCO4C1;RARB;CDH13;MCTP2;DOCK1
RARG 19884340 ChIP-ChIP MEFs Mouse	17/390	8.746514214204361E-5	4.501254876090537E-4	0	0	3.1237617173388093	29.189273588120766	YAP1;WWTR1;DST;LRP1;FIGN;ATP11A;SMAD6;CP;LTBP1;DHRS3;VEGFA;PALMD;TSPAN9;KITL;KIF5B;RARB;AOX1
TP63 23658742 ChIP-Seq EP156T Human	81/3652	9.716318262652903E-5	4.960023758273619E-4	0	0	1.678313324204409	15.50613601444974	PCSK1;PDE3B;CHD7;FMN1;PTPRK;AHR;IKZF2;FGF1;SLC4A4;ROBO1;UNC80;ALCAM;MECOM;RASGEF1B;KIF5B;DNER;SCN9A;EPSTI1;RNF152;SLC18A1;MAGI1;ST6GAL1;SLC38A1;ANXA2;IGFBP5;DST;DAPK2;MTUS1;ATP1B1;DNM3;CLDN10;MALAT1;XIST;MCTP2;MET;RAPGEF4;RBM47;EPAS1;SEMA3A;HSPA4L;SEMA3E;CPLX2;LTBP1;NALCN;EGFR;NPAS2;DPP4;SELENBP1;STOX2;PTPRZ1;PALMD;PLXNA2;DMD;MPDZ;WWTR1;SMAD3;PPP1R14C;DENND4A;EYA2;KCNJ15;PPP2R3A;PLXDC2;PTPN13;CP;PTPN14;VEGFA;SMAD7;MYO1D;PEX5L;NFASC;FAM135A;FRAS1;NFIA;PTK7;PPP2R2B;WNK2;MYO5C;TTC3;SDC1;SPATS2L;SNTB1
ESRRB 18555785 Chip-Seq ESCs Mouse	51/2000	1.0391388833257206E-4	5.179330024765206E-4	0	0	1.8730697297207832	17.179698158757866	SNAP25;FMN1;FMN2;IKZF2;UNC80;DNER;SCN9A;AOX3;TNR;AOX1;LRRFIP1;NCKAP5;RNF152;RGS7;EPHA4;GPR39;IGFBP5;DST;REV1;PROX1;ATP1B1;PARD3B;DNM3;SP100;NPAS2;RAP1GAP;PKHD1;PALMD;CDH20;PLXNA2;PAK6;CCDC141;CD55;WWTR1;EYA1;EYA2;LRBA;4930523C07RIK;NFATC2;FMO1;FMO2;SYT14;MEIS2;PTPN14;ST18;NFASC;FAM135A;BCL2;SPATS2L;PAM;IL18R1
SA1 22415368 ChIP-Seq MEFs Mouse	51/2000	1.0391388833257206E-4	5.179330024765206E-4	0	0	1.8730697297207832	17.179698158757866	RYR2;ZFP521;PTPRK;AHR;IKZF2;CDC14A;ALCAM;MECOM;KIF5B;DNER;AOX3;TNR;AOX1;EPHA4;IGFBP5;CACNA2D1;COL23A1;REV1;ATP1B1;RARB;KIFC3;XIST;ZFPM2;MET;ANK;RAI14;LRP1;NEDD4L;CACNA1C;CPLX2;LTBP1;EGFR;FAM171A1;FUT8;TSPAN9;PLXNA2;UTP20;NCAM1;SAMD4;ZFP462;TCF7L2;PCDH9;FMO2;PLXDC2;VEGFA;MYO1D;NFIA;BCL6;BCL2;SPATS2L;HCN1
